Database,Table,Column
TD_DBC,employee_company,Month_of_Joining
TD_DBC,employee_company,Day_of_Joining
TD_DBC,employee_company,DOW_of_Joining
TD_DBC,employee_company,Short_DOW
TD_DBC,employee_company,Salary
TD_DBC,employee_company,Last_Hike
TD_DBC,employee_company,NID
TD_DBC,employee_company,PlaceName
TD_DBC,employee_company,County
TD_DBC,employee_company,City
TD_DBC,employee_company,State
TD_DBC,employee_company,Region
TD_DBC,employee_company,UserName
TD_DBC,employee_company,passcode
TD_DBC,employee_company,batch_id
TD_DBC,employee_company,Data_extraction_date
TD_DBC,employee_company,PhoneNo
TD_DBC,employee_company,Short_Month
TD_DBC,employee_company,Half_of_Joining
TD_DBC,employee_company,Date_of_Joining
TD_DBC,employee_company,EmpID
TD_DBC,employee_company,Zip
TD_DBC,employee_company,Age_in_Company_in_Years
TD_DBC,employee_company,Month_Name_of_Joining
TD_DBC,employee_company,Year_of_Joining
TD_DBC,employee_company,Quarter_of_Joining
TD_DBC,employee_info,Gender
TD_DBC,employee_info,MotherName
TD_DBC,employee_info,MotherMaidenName
TD_DBC,employee_info,DateofBirth
TD_DBC,employee_info,Age_in_Yrs
TD_DBC,employee_info,Weight_in_Kgs
TD_DBC,employee_info,batch_id
TD_DBC,employee_info,Data_extraction_date
TD_DBC,employee_info,FatherName
TD_DBC,employee_info,MiddleInitial
TD_DBC,employee_info,NamePrefix
TD_DBC,employee_info,EmpID
TD_DBC,employee_info,TimeofBirth
TD_DBC,employee_info,EMail
TD_DBC,employee_info,LastName
TD_DBC,employee_info,FirstName
